Date,y_true,Arima,LSTM,ANN,SVR,Arima + LSTM,Arima + ANN,Arima + SVR,return,Arima_return,LSTM_return,ANN_return,SVR_return,Arima + LSTM_return,Arima + ANN_return,Arima + SVR_return
8/12/2019,147.3399963,153.6100006,149.4797653,149.9110065,148.6150823,150.8676624,147.4040337,150.1029434,-1.580001831,0,-1.824201998,-0.824760956,-1.16384073,0.196330547,-3.834391832,-0.37538502
8/19/2019,145.3099976,147.3399963,148.1947514,147.1307681,147.0673808,143.8051555,144.347394,142.4206457,-2.029998779,-6.270004272,-1.285013901,-2.780238371,-1.547701498,-7.062506914,-3.056639671,-7.68229772
8/26/2019,149.0399933,147.3399963,146.6388854,146.0012315,145.9358784,147.9954553,145.6518543,145.3621302,3.729995728,0,-1.555865971,-1.12953665,-1.131502446,4.190299749,1.304460287,2.941484535
9/2/2019,151.6799927,147.3399963,147.9580767,148.8394626,146.9113088,150.5495505,148.7159964,150.0204251,2.63999939,0,1.319191334,2.838231155,0.975430397,2.554095268,3.064142108,4.658294875
9/9/2019,153.4700012,147.3399963,149.903749,150.7790064,148.8904762,153.1390491,149.9191642,152.1299442,1.790008545,0,1.945672313,1.939543785,1.979167484,2.58949852,1.203167796,2.109519127
9/16/2019,152.0399933,147.3399963,151.7034706,153.821568,151.4664274,152.8815694,150.3334041,154.6741439,-1.430007935,0,1.799721526,3.042561642,2.575951179,-0.257479668,0.414239883,2.54419963
9/23/2019,150.3000031,152.0399933,151.5518077,152.6161138,150.618787,150.6961129,151.1552293,153.7727393,-1.739990234,4.699996948,-0.151662844,-1.20545425,-0.847640426,-2.185456514,0.821825206,-0.901404502
9/30/2019,149.7299957,152.0399933,150.4810217,151.1742507,148.6641428,149.8717761,151.2607076,149.1145808,-0.570007324,0,-1.070786049,-1.441863121,-1.954644153,-0.824336767,0.105478346,-4.658158517
10/7/2019,150.6300049,152.0399933,149.7649869,150.253358,147.2082776,151.1041977,150.2140477,147.6677027,0.900009155,0,-0.716034722,-0.920892616,-1.455865191,1.232421637,-1.046659946,-1.446878168
10/14/2019,151.5800018,152.0399933,150.0263428,150.9886688,147.5637119,150.5101706,149.799511,151.098954,0.949996948,0,0.261355832,0.735310741,0.355434233,-0.594027162,-0.414536715,3.431251288
10/21/2019,153.4499969,152.0399933,150.0474716,151.2352157,150.4997244,153.8399665,152.2607843,153.4960685,1.869995117,0,0.021128858,0.246546949,2.93601255,3.329795957,2.461273298,2.397114541
10/28/2019,155.8300018,153.4499969,151.3277647,153.1098245,151.9646634,154.5855991,154.7149923,156.7149296,2.380004883,1.410003662,1.280293012,1.874608757,1.464938952,0.745632529,2.454208031,3.218861128
11/4/2019,157.1600037,153.4499969,153.0617594,155.3005806,153.6611525,156.5340011,158.4950047,156.8050064,1.330001831,0,1.733994737,2.190756154,1.696489137,1.948402047,3.780012369,0.090076777
11/11/2019,158.5500031,153.4499969,154.3018408,156.6772107,154.8522255,159.7319145,157.486444,156.9915207,1.38999939,0,1.24008143,1.376630037,1.191072968,3.197913408,-1.008560658,0.186514285
11/18/2019,158.1399994,153.4499969,155.4216143,158.1212596,155.5882094,160.254333,156.3403311,156.9086486,-0.410003662,0,1.119773443,1.444048873,0.735983924,0.522418499,-1.146112919,-0.082872067
11/25/2019,160.0200043,153.4499969,155.6866376,158.4109461,155.5174536,157.7266645,157.8325357,155.6592722,1.880004883,0,0.265023313,0.289686559,-0.070755802,-2.527668476,1.492204666,-1.249376463
12/2/2019,160.2899933,160.0200043,156.8665705,160.3048334,156.2087603,155.8776422,162.291878,162.4791027,0.269989014,6.570007324,1.179932883,1.893887249,0.691306732,-1.849022388,4.459342241,6.819830564
12/9/2019,161.3300018,160.0200043,157.2362064,160.3256353,156.6124407,160.1510489,159.8272187,158.4609266,1.040008545,0,0.369635976,0.020801894,0.40368036,4.273406729,-2.464659303,-4.018176149
12/16/2019,164.1900024,160.0200043,157.9448517,161.6588442,157.2003258,164.6547694,163.7287869,159.6714453,2.86000061,0,0.708645301,1.333208929,0.587885122,4.503720537,3.901568264,1.210518754
12/23/2019,164.0800018,160.0200043,159.8303008,164.1470405,158.182874,164.3314891,163.3071752,161.6680013,-0.11000061,0,1.885449078,2.488196334,0.982548145,-0.323280334,-0.421611786,1.996555971
12/30/2019,163.9299927,160.0200043,159.6261823,163.864764,160.8204318,164.2399511,163.8106778,162.5862927,-0.150009155,0,-0.204118552,-0.282276531,2.637557876,-0.091537952,0.503502607,0.91829137
1/6/2020,165.4600067,163.9299927,159.4810048,163.9998997,160.915833,165.4244297,167.5551348,167.1242534,1.530014038,3.909988403,-0.145177457,0.135135729,0.09540113,1.184478521,3.744457006,4.5379607
1/13/2020,168.7599945,163.9299927,160.4432975,165.1575365,161.4852366,168.6801662,163.6454569,165.4662945,3.299987793,0,0.962292733,1.157636801,0.569403654,3.255736589,-3.909677863,-1.657958904
1/20/2020,167.0899963,163.9299927,162.6379835,168.3242762,163.6240445,167.5761213,167.5880027,166.2420577,-1.669998169,0,2.194685991,3.166739637,2.138807871,-1.104044914,3.942545772,0.775763237
1/27/2020,163.5200043,163.9299927,161.7793232,166.8473127,163.66767,165.4648798,163.9367193,166.4225569,-3.569992065,0,-0.858660346,-1.476963472,0.043625495,-2.111241579,-3.651283413,0.180499224
2/3/2020,168.7100067,163.9299927,161.7227161,162.887551,163.1315289,167.2542493,167.6201968,164.916718,5.190002441,0,-0.056607102,-3.959761663,-0.536141136,1.789369583,3.683477551,-1.505838956
2/10/2020,171.6999969,168.7100067,165.8276304,167.3001027,164.6895395,170.555479,171.5014455,171.1751369,2.989990234,4.780014038,4.104914291,4.412551632,1.558010692,3.301229715,3.881248713,6.258418906
2/17/2020,169.8899994,168.7100067,168.2591248,169.9170389,167.5204725,169.5189335,171.0563645,171.0817298,-1.809997559,0,2.431494445,2.616936257,2.830932997,-1.036545515,-0.445080996,-0.093407035
2/24/2020,150.4400024,168.7100067,166.9126538,168.9972888,167.9068974,172.4808605,170.9456923,171.3199683,-19.44999695,0,-1.34647104,-0.919750064,0.386424883,2.961926937,-0.110672235,0.238238445
3/2/2020,150.5899963,168.7100067,149.5580645,152.2376559,156.9158494,153.0347271,152.2381573,161.8981841,0.149993896,0,-17.35458928,-16.75963293,-10.991048,-19.44613338,-18.70753503,-9.421784209
3/9/2020,135.9299927,168.7100067,150.4512633,153.2041388,153.1509829,136.0189476,150.6408234,161.7268199,-14.66000366,0,0.89319877,0.966482916,-3.764866548,-17.0157795,-1.597333908,-0.17136415
